timestamp,predicted_stage,score
2025-09-27 21:28:45,day 10-fifth instar,99.55
2025-09-27 21:29:55,day 14,99.01
2025-09-27 21:30:44,day 05,91.62
2025-09-28 00:20:31,day 04-second instar,60.35
2025-09-28 00:21:13,day 04-second instar,99.98
2025-09-28 00:23:09,day 08-fourth instar,70.44
2025-09-28 00:23:31,day 08-fourth instar,96.07
2025-09-28 14:23:54,day 08-fourth instar,99.80
2025-09-29 11:03:29,day 07,37.98
2025-09-29 11:03:56,day 07,37.98
2025-09-29 11:04:41,day 01,99.97
2025-09-29 11:04:52,day 01,99.97
2025-09-29 11:05:13,day 05,82.34
2025-09-29 11:05:33,day 05,82.34
2025-09-29 11:05:58,day 04-second instar,99.98
2025-09-29 11:06:06,day 04-second instar,99.98
2025-09-29 11:06:37,day 03,99.69
2025-09-29 11:06:47,day 03,99.69
2025-09-29 11:07:32,day 07,37.98
2025-09-29 11:07:47,day 07,37.98
2025-09-29 11:09:19,day 06-third instar,100.00
2025-09-29 11:09:27,day 06-third instar,100.00
2025-09-29 11:09:58,day 11,99.98
2025-09-29 11:10:11,day 11,99.98
2025-09-29 11:12:25,day 02-first instar,98.83
2025-09-29 11:12:32,day 02-first instar,98.83
2025-09-29 11:13:38,day 09,99.88
2025-09-29 11:13:45,day 09,99.88
2025-09-29 11:14:58,day 10-fifth instar,99.96
2025-09-29 11:15:08,day 10-fifth instar,99.96
2025-09-29 11:15:41,day 12,99.61
2025-09-29 11:15:48,day 12,99.61
2025-09-29 11:16:23,day 13,100.00
2025-09-29 11:16:28,day 13,100.00
2025-09-29 11:16:49,day 14,48.32
2025-09-29 11:17:22,day 14,99.92
2025-09-29 11:17:31,day 14,99.92
2025-10-01 13:53:37,day 03,68.33
2025-10-01 13:54:12,day 10-fifth instar,99.96
2025-10-01 16:36:34,day 03,99.97
2025-10-01 16:37:06,day 03,99.97
2025-10-01 16:37:26,day 03,98.79
2025-10-01 16:37:59,day 08-fourth instar,99.84
2025-10-01 16:38:12,day 08-fourth instar,99.84
2025-10-01 16:38:50,day 03,100.00
2025-10-02 10:13:09,day 06-third instar,100.00
2025-10-02 10:21:46,day 04-second instar,99.92
2025-10-05 22:36:54,day 02-first instar,98.83
2025-10-05 22:38:07,day 07,50.08
2025-10-06 06:59:43,day 11,99.85
2025-10-06 07:00:31,day 02-first instar,99.49
2025-10-08 12:28:43,day 06-third instar,99.97
