batch_id,species,stage,larva_count,health_status,created_date,created_by,notes,last_updated
CAGE_20250728_0302,Butterfly-Clippers,pupa,11,warning,2025-07-28 03:02:15,jerwin,,
CAGE_20250728_0411,Butterfly-Clippers,egg,10,healthy,2025-07-28 04:11:37,eric,,
CAGE_20250802_0908,Butterfly-Clippers,larva,23,healthy,2025-08-02 09:08:25,admin,,
CAGE_20250802_0908,Butterfly-Golden Birdwing,larva,36,healthy,2025-08-02 09:08:42,admin,,
CAGE_20250802_0924,Butterfly-Emerald Swallowtail,pupa,45,healthy,2025-08-02 09:24:11,rob,,
CAGE_20250802_0926,Butterfly-Common Mime,pupa,19,healthy,2025-08-02 09:26:31,rob,,2025-09-11 15:29:35
CAGE_20250802_0926,Butterfly-Common Mime,egg,17,healthy,2025-08-02 09:26:32,rob,,2025-08-02 09:26:46
CAGE_20250911_1448,Butterfly-Golden Birdwing,larva,17,healthy,2025-09-11 14:48:29,rob,eggs are healthy,2025-09-11 15:29:48
CAGE_20250918_1228,Butterfly-Tailed Jay,larva,9,healthy,2025-09-18 12:28:03,eric,,2025-09-18 12:28:21
CAGE_20251009_1218,Butterfly-Common Mormon,egg,2,healthy,2025-10-09 12:18:50,larry,day 3
CAGE_20251009_1222,Butterfly-Golden Birdwing,larva,1,healthy,2025-10-09 12:22:48,larry,day 1
CAGE_20251009_1223,Butterfly-Common Lime,larva,1,healthy,2025-10-09 12:23:08,larry,day 3
