,Species,Instar 1 (days),Instar 2 (days),Instar 3 (days),Instar 4 (days),Instar 5 (days),Pupa (days)
0,Butterfly-Clippers,3,4,4,5,6,15
1,Butterfly-Common Jay,4,5,4,6,7,12
2,Butterfly-Common Lime,3,3,4,4,5,14
3,Butterfly-Common Mime,4,4,5,5,6,18
4,Butterfly-Common Mormon,3,4,5,5,6,16
5,Butterfly-Emerald Swallowtail,4,4,5,6,7,15
6,Butterfly-Golden Birdwing,5,6,7,8,9,25
7,Butterfly-Gray Glassy Tiger,3,4,4,5,5,13
8,Butterfly-Great Eggfly,4,5,6,6,7,20
9,Butterfly-Great Yellow Mormon,3,4,5,6,7,17
10,Butterfly-Paper Kite,3,4,5,5,6,19
11,Butterfly-Pink Rose,4,5,5,6,7,15
12,Butterfly-Plain Tiger,3,4,4,5,5,12
13,Butterfly-Red Lacewing,4,5,5,6,7,14
14,Butterfly-Scarlet Mormon,3,4,5,5,6,16
15,Butterfly-Tailed Jay,4,5,5,6,7,13
16,Moth-Atlas,7,8,9,10,12,30
17,Moth-Giant Silk,6,7,8,9,10,25
